"FaciltyId","Year","Measure","Note"
"290009",2018,"I_002_01","5"
"290019",2017,"I_002_01","5"
"290019",2018,"I_002_01","5"
"320009",2017,"I_002_01","5"
"320009",2018,"I_002_01","5"
"320065",2017,"I_002_01","5"
"320065",2018,"I_002_01","5"
"320085",2017,"I_002_01","5"
"320085",2018,"I_002_01","5"
"330053",2017,"I_002_01","5"
"330067",2017,"I_002_01","5"
"330078",2017,"I_002_01","5"
"330078",2018,"I_002_01","5"
"330159",2017,"I_002_01","5"
"330159",2018,"I_002_01","5"
"330160",2018,"I_002_01","2"
"330211",2017,"I_002_01","5"
"330211",2018,"I_002_01","5"
"330290",2017,"I_002_01","5"
"330290",2018,"I_002_01","5"
"330306",2017,"I_002_01","3"
"330306",2018,"I_002_01","3"
"333030",2017,"I_002_01","3"
"333030",2018,"I_002_01","3"
"340015",2017,"I_002_01","2"
"340015",2018,"I_002_01","2"
"340028",2018,"I_002_01","2"
"340040",2017,"I_002_01","2"
"340040",2018,"I_002_01","2"
"340047",2018,"I_002_01","2"
"340069",2017,"I_002_01","2"
"340069",2018,"I_002_01","2"
"340091",2017,"I_002_01","2"
"340097",2017,"I_002_01","5"
"340097",2018,"I_002_01","5"
"340098",2017,"I_002_01","2"
"340107",2017,"I_002_01","2"
"340107",2018,"I_002_01","2"
"340115",2017,"I_002_01","2"
"340115",2018,"I_002_01","2"
"340116",2018,"I_002_01","2"
"340131",2017,"I_002_01","2"
"340132",2017,"I_002_01","2"
"340132",2018,"I_002_01","2"
"340141",2017,"I_002_01","2"
"340141",2018,"I_002_01","2"
"340143",2018,"I_002_01","2"
"350015",2017,"I_002_01","2"
"350015",2018,"I_002_01","2"
"360001",2018,"I_002_01","5"
"360003",2017,"I_002_01","5"
"360003",2018,"I_002_01","5"
"360016",2017,"I_002_01","3"
"360016",2018,"I_002_01","3"
"360121",2017,"I_002_01","5"
"360121",2018,"I_002_01","5"
"360137",2017,"I_002_01","5"
"360137",2018,"I_002_01","5"
"360189",2017,"I_002_01","5"
"360189",2018,"I_002_01","5"
"363032",2017,"I_002_01","5"
"363032",2018,"I_002_01","5"
"363038",2017,"I_002_01","3"
"363038",2018,"I_002_01","3"
"363039",2017,"I_002_01","3"
"363039",2018,"I_002_01","3"
"363040",2017,"I_002_01","2"
"363040",2018,"I_002_01","2"
"363041",2017,"I_002_01","2"
"363041",2018,"I_002_01","2"
"370149",2017,"I_002_01","5"
"370149",2018,"I_002_01","5"
"373034",2017,"I_002_01","2"
"373034",2018,"I_002_01","2"
"373035",2018,"I_002_01","5"
"390258",2017,"I_002_01","5"
"400003",2017,"I_002_01","5"
"400003",2018,"I_002_01","5"
"420101",2017,"I_002_01","5"
"420101",2018,"I_002_01","5"
"430012",2017,"I_002_01","5"
"430012",2018,"I_002_01","5"
"430016",2017,"I_002_01","2"
"430027",2017,"I_002_01","2"
"430027",2018,"I_002_01","2"
"430077",2017,"I_002_01","2"
"430077",2018,"I_002_01","2"
"440009",2017,"I_002_01","5"
"440009",2018,"I_002_01","5"
"440162",2017,"I_002_01","5"
"440200",2017,"I_002_01","5"
"440200",2018,"I_002_01","5"
"443035",2017,"I_002_01","3"
"443035",2018,"I_002_01","3"
"450002",2017,"I_002_01","5"
"450002",2018,"I_002_01","5"
"450040",2017,"I_002_01","3"
"450119",2018,"I_002_01","2"
"450289",2017,"I_002_01","1"
"450289",2018,"I_002_01","1"
"450563",2017,"I_002_01","2"
"450563",2018,"I_002_01","2"
"450638",2017,"I_002_01","2"
"450638",2018,"I_002_01","2"
"450647",2017,"I_002_01","5"
"450647",2018,"I_002_01","5"
"450672",2017,"I_002_01","1"
"450672",2018,"I_002_01","1"
"450862",2017,"I_002_01","2"
"450862",2018,"I_002_01","2"
"460001",2017,"I_002_01","2"
"460004",2017,"I_002_01","2"
"460005",2017,"I_002_01","5"
"460005",2018,"I_002_01","5"
"460021",2017,"I_002_01","2"
"460047",2017,"I_002_01","2"
"490060",2017,"I_002_01","5"
"500001",2017,"I_002_01","5"
"500001",2018,"I_002_01","5"
"500005",2017,"I_002_01","2"
"500005",2018,"I_002_01","2"
"500015",2017,"I_002_01","5"
"500015",2018,"I_002_01","5"
"500019",2017,"I_002_01","5"
"500019",2018,"I_002_01","5"
"500051",2017,"I_002_01","5"
"500051",2018,"I_002_01","5"
"530008",2017,"I_002_01","2"
"673026",2017,"I_002_01","5"
"673028",2017,"I_002_01","5"
"673028",2018,"I_002_01","5"
"673063",2017,"I_002_01","3"
"673063",2018,"I_002_01","3"
"673064",2017,"I_002_01","2"
"673064",2018,"I_002_01","2"
"673065",2017,"I_002_01","2"
"673065",2018,"I_002_01","2"
"10011",2017,"I_006_01","7"
"10011",2018,"I_006_01","7"
"10029",2018,"I_006_01","7"
"10033",2016,"I_006_01","4"
"10033",2018,"I_006_01","7"
"10092",2016,"I_006_01","4"
"10100",2018,"I_006_01","5"
"10104",2017,"I_006_01","7"
"10104",2018,"I_006_01","7"
"10113",2017,"I_006_01","7"
"10114",2016,"I_006_01","4"
"10114",2017,"I_006_01","7"
"10114",2018,"I_006_01","7"
"10139",2017,"I_006_01","7"
"10139",2018,"I_006_01","7"
"10144",2018,"I_006_01","7"
"10157",2016,"I_006_01","4"
"13025",2016,"I_006_01","4"
"13028",2016,"I_006_01","4"
"13029",2016,"I_006_01","4"
"13030",2016,"I_006_01","4"
"13032",2016,"I_006_01","4"
"13033",2016,"I_006_01","4"
"20001",2017,"I_006_01","7"
"20001",2018,"I_006_01","7"
"20017",2016,"I_006_01","4"
"20017",2017,"I_006_01","7"
"20017",2018,"I_006_01","7"
"30002",2016,"I_006_01","4"
"30010",2016,"I_006_01","4"
"30024",2016,"I_006_01","4"
"30024",2018,"I_006_01","7"
"30030",2018,"I_006_01","7"
"30037",2017,"I_006_01","7"
"30037",2018,"I_006_01","7"
"30038",2017,"I_006_01","7"
"30038",2018,"I_006_01","7"
"30055",2017,"I_006_01","7"
"30055",2018,"I_006_01","7"
"30061",2016,"I_006_01","4"
"30085",2017,"I_006_01","7"
"30085",2018,"I_006_01","7"
"30088",2017,"I_006_01","7"
"30088",2018,"I_006_01","7"
"30093",2016,"I_006_01","4"
"30103",2017,"I_006_01","7"
"30103",2018,"I_006_01","7"
"30114",2017,"I_006_01","7"
"30114",2018,"I_006_01","7"
"30117",2017,"I_006_01","7"
"30117",2018,"I_006_01","7"
"33025",2016,"I_006_01","4"
"33028",2016,"I_006_01","4"
"33028",2018,"I_006_01","7"
"33029",2016,"I_006_01","4"
"33032",2016,"I_006_01","4"
"33034",2016,"I_006_01","4"
"33034",2018,"I_006_01","7"
"33036",2016,"I_006_01","4"
"33037",2016,"I_006_01","4"
"33038",2016,"I_006_01","4"
"33038",2017,"I_006_01","7"
"33038",2018,"I_006_01","7"
"33039",2017,"I_006_01","5"
"33039",2018,"I_006_01","5"
"33040",2017,"I_006_01","5"
"40002",2017,"I_006_01","7"
"40002",2018,"I_006_01","7"
"40014",2016,"I_006_01","4"
"40014",2017,"I_006_01","7"
"40014",2018,"I_006_01","7"
"40015",2017,"I_006_01","7"
"40015",2018,"I_006_01","7"
"40022",2017,"I_006_01","7"
"40022",2018,"I_006_01","7"
"40027",2016,"I_006_01","4"
"40027",2017,"I_006_01","7"
"40027",2018,"I_006_01","7"
"40036",2017,"I_006_01","7"
"40036",2018,"I_006_01","7"
"40039",2017,"I_006_01","7"
"40039",2018,"I_006_01","7"
"40041",2017,"I_006_01","7"
"40041",2018,"I_006_01","7"
"40062",2016,"I_006_01","4"
"40062",2017,"I_006_01","7"
"40062",2018,"I_006_01","7"
"40071",2017,"I_006_01","7"
"40071",2018,"I_006_01","7"
"40078",2016,"I_006_01","4"
"40078",2017,"I_006_01","7"
"40078",2018,"I_006_01","7"
"40084",2017,"I_006_01","7"
"40084",2018,"I_006_01","7"
"40088",2017,"I_006_01","7"
"40088",2018,"I_006_01","7"
"40118",2017,"I_006_01","7"
"40118",2018,"I_006_01","7"
"40119",2017,"I_006_01","7"
"40119",2018,"I_006_01","7"
"40154",2017,"I_006_01","5"
"40154",2018,"I_006_01","5"
"43026",2016,"I_006_01","4"
"43028",2016,"I_006_01","4"
